01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7113405**40.4261903**CONDE DUQUE, CALLE, DEL,5
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7024476**40.420587**DESENGAÑO, CALLE, DEL,1
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7043098**40.4211069**DESENGAÑO, CALLE, DEL,Fte 13
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7045232**40.4211266**DESENGAÑO, CALLE, DEL,Fte 13
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7040831**40.4276912**DIVINO PASTOR, CALLE, DEL,12
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7051859**40.4278363**DIVINO PASTOR, CALLE, DEL,26
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7022834**40.4273689**DIVINO PASTOR, CALLE, DEL,Fte 5
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7042244**40.4258881**DOS DE MAYO, CALLE, DEL,2
01  CENTRO**01-05 UNIVERSIDAD**Línea**2**-3.7041689**40.4262121**DOS DE MAYO, CALLE, DEL,8
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7038233**40.4254438**ESPIRITU SANTO, CALLE, DEL,28
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7052138**40.4256041**ESPIRITU SANTO, CALLE, DEL,40
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.703863**40.4246893**JESUS DEL VALLE, CALLE, DE,26
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7036487**40.4248299**JESUS DEL VALLE, CALLE, DE,30
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7100579**40.4254548**JUAN DE DIOS, CALLE, DE,4
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7044258**40.4247412**MARQUES DE SANTA ANA, CALLE, DEL,20
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7059623**40.4253212**MINAS, CALLE, DE LAS,24
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7028953**40.4240385**MOLINO DE VIENTO, CALLE, DEL,21
01  CENTRO**01-05 UNIVERSIDAD**Línea**3**-3.7089517**40.4278997**MONTSERRAT, CALLE, DEL,13
01  CENTRO**01-05 UNIVERSIDAD**Línea**2**-3.7094058**40.4279157**MONTSERRAT, CALLE, DEL,30
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7064622**40.4280244**MONTSERRAT, CALLE, DEL,Fte 2
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7073314**40.4263478**NORTE, CALLE, DEL,10
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7082001**40.42566**NOVICIADO, CALLE, DEL,0,208333333333333
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7075872**40.4267166**PALMA, CALLE, DE LA,58
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7050272**40.4235455**PEZ, CALLE, DEL,14
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7057857**40.4239365**PEZ, CALLE, DEL,19
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7055011**40.4238406**PEZ, CALLE, DEL,20
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7035161**40.4222184**PUEBLA, CALLE, DE LA,13
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7069825**40.4274709**QUIÑONES, CALLE, DE,5
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7088644**40.4242731**REYES, CALLE, DE LOS,7
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7039549**40.4277596**RUIZ, CALLE, DE,5
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7036182**40.4274555**SAN ANDRES, CALLE, DE,17
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7075422**40.4226827**SAN BERNARDO, CALLE, DE,20
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7074248**40.4232696**SAN BERNARDO, CALLE, DE,24
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.706823**40.4263429**SAN BERNARDO, CALLE, DE,64
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.707512**40.428321**SAN HERMENEGILDO, CALLE, DE,7
01  CENTRO**01-05 UNIVERSIDAD**Línea**2**-3.7086682**40.4283021**SAN HERMENEGILDO, CALLE, DE,21
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7109204**40.4247858**SAN LEONARDO, CALLE, DE,8
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7056655**40.4264015**SAN VICENTE, COSTANILLA, DE,8
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7069**40.428979**SANTA CRUZ DE MARCENADO, CALLE, DE,2
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7091484**40.4287582**SANTA CRUZ DE MARCENADO, CALLE, DE,17
01  CENTRO**01-05 UNIVERSIDAD**Línea**1**-3.7049184**40.4250977**TESORO, CALLE, DEL,10
01  CENTRO**01-06 SOL**Línea**2**-3.7046681**40.4195386**ABADA, CALLE, DE LA,9
01  CENTRO**01-06 SOL**Línea**1**-3.7058664**40.4169544**ARENAL, TRAVESIA, DEL,4
01  CENTRO**01-06 SOL**Línea**2**-3.7072514**40.4172677**BORDADORES, CALLE, DE LOS,13
01  CENTRO**01-06 SOL**Línea**1**-3.7032692**40.4156717**CARRETAS, CALLE, DE LAS,8
01  CENTRO**01-06 SOL**Batería**1**-3.708611**40.4161017**COMANDANTE LAS MORENAS, PLAZA, DEL,5
01  CENTRO**01-06 SOL**Línea**1**-3.7054344**40.4153611**ESPARTEROS, CALLE, DE,13
01  CENTRO**01-06 SOL**Línea**1**-3.7086305**40.4172707**FUENTES, CALLE, DE LAS,10
01  CENTRO**01-06 SOL**Línea**1**-3.7081029**40.4171496**HILERAS, CALLE, DE LAS,8
01  CENTRO**01-06 SOL**Línea**2**-3.7060122**40.4163551**MAYOR, CALLE,11
01  CENTRO**01-06 SOL**Línea**2**-3.7027082**40.4182549**SAN ALBERTO, CALLE, DE,1
01  CENTRO**01-06 SOL**Línea**1**-3.707442**40.4192079**VENERAS, CALLE, DE LAS,1
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7193011**40.4064697**COBOS DE SEGOVIA, CALLE, DE,8
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7192406**40.4061591**COBOS DE SEGOVIA, CALLE, DE,12
02  ARGANZUELA**02-01 IMPERIAL**Batería**22**-3.7207928**40.4030358**DUQUE DE TOVAR, CALLE, DEL,S/N
02  ARGANZUELA**02-01 IMPERIAL******-3.7193142**40.4059849**ETREROS, CALLE, DE,2
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7177651**40.4091528**IMPERIAL, PASEO,10
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7172372**40.4076512**IMPERIAL, PASEO,20
02  ARGANZUELA**02-01 IMPERIAL****2**-3.7169649**40.4068758**IMPERIAL, PASEO,22
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7162506**40.4048597**IMPERIAL, PASEO,28
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7149823**40.4013535**IMPERIAL, PASEO,52
02  ARGANZUELA**02-01 IMPERIAL****2**-3.7142342**40.4036469**JUAN ANTONIO VALLEJO-NÁJERA BOTAS, PASEO, DE,46
02  ARGANZUELA**02-01 IMPERIAL****1**-3.714807**40.4038863**JUAN ANTONIO VALLEJO-NÁJERA BOTAS, PASEO, DE,50
02  ARGANZUELA**02-01 IMPERIAL**Línea****-3.7195848**40.4106236**JUAN DUQUE, CALLE, DE,32
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7194994**40.4103296**JUAN DUQUE, CALLE, DE,33
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7195252**40.4096302**JUAN DUQUE, CALLE, DE,39
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7196258**40.4095567**JUAN DUQUE, CALLE, DE,40
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7196358**40.4093454**JUAN DUQUE, CALLE, DE,42
02  ARGANZUELA**02-01 IMPERIAL**Batería**1**-3.7193133**40.4113869**JUAN DUQUE, CALLE, DE,27 B
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7194652**40.4112271**JUAN DUQUE, CALLE, DE,27A
02  ARGANZUELA**02-01 IMPERIAL****1**-3.720453**40.4132833**LINNEO, CALLE, DE,5
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7205362**40.4106568**LINNEO, CALLE, DE,32
02  ARGANZUELA**02-01 IMPERIAL****1**-3.720636**40.4099802**LINNEO, CALLE, DE,40
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7187159**40.4128818**MANZANARES, CALLE, DEL,5
02  ARGANZUELA**02-01 IMPERIAL****1**-3.719147**40.4128369**MANZANARES, CALLE, DEL,11
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7212714**40.4053496**MARMOL, CALLE, DEL,3
02  ARGANZUELA**02-01 IMPERIAL****1**-3.721986**40.4053136**MARMOL, CALLE, DEL,7
02  ARGANZUELA**02-01 IMPERIAL****2**-3.7205584**40.4055277**MELANCOLICOS, PASEO, DE LOS,31
02  ARGANZUELA**02-01 IMPERIAL**Batería**1**-3.7203305**40.4043359**MELANCOLICOS, PASEO, DE LOS,49
02  ARGANZUELA**02-01 IMPERIAL****1**-3.71939**40.4023024**MELANCOLICOS, PASEO, DE LOS,69
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7199113**40.4120146**MORENO NIETO, CALLE, DE,11
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7207877**40.4119942**MORENO NIETO, CALLE, DE,19
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7210308**40.4120671**MORENO NIETO, CALLE, DE,20
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.716056**40.4057665**MUÑOPEDRO, CALLE, DE,10
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7140491**40.4073271**MUÑOPEDRO, CALLE, DE,S/N
02  ARGANZUELA**02-01 IMPERIAL**Línea**2**-3.7196934**40.4054168**PARADINAS, CALLE, DE,13
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7194831**40.4043272**PARADINAS, CALLE, DE,23
02  ARGANZUELA**02-01 IMPERIAL****2**-3.7197728**40.4058299**PARADINAS, CALLE, DE,Fte 9
02  ARGANZUELA**02-01 IMPERIAL**Batería**2**-3.7205212**40.4092909**PIZARRA, CALLE, DE LA,S/N
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7125017**40.4065875**PONTONES, PASEO, DE,2
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7132749**40.4059899**PONTONES, PASEO, DE,11
02  ARGANZUELA**02-01 IMPERIAL****1**-3.7150677**40.404992**PONTONES, PASEO, DE,23
02  ARGANZUELA**02-01 IMPERIAL**Línea**1**-3.7154926**40.4047666**PONTONES, PASEO, DE,29
02  ARGANZUELA**02-01 IMPERIAL**Batería**1**-3.7123893**40.4064767**PONTONES, PASEO, DE,1 B
